Page_no,Choice_No,Goto_page,Health Effect,Text
40,2,180,0,If it is 6 or more'turn to East // His shot hits your forarm but all six of your bullets catch your enemy as he turns hitting him in the side and lifting him into the air with the force of their deadly impact.
54,0,54,0, He disappears from sight and you hear him crash down upon the broken glass that carpets the floor of the drugstore.  Remember to erase six 9mm rounds from your'Ammo Pouch.
54,1,251,0,To continue'turn to North
63,0,63,0,As you pull his body over you notice he held a Flick Knife (2) that drops from his lifeless body. (If you decide to keep this weapon remember to mark it on your'Weapons List.)  Another burst of fire echoes from across the street and once more Long Jake shouts for you to take cover. With your pulse racing you jump to your feet and sprint head down towards the darkened doorway.  Pick a number from the'Random Number Table'and add to it your current Stealth skill total.
63,1,18,0,If the total is now 5 or less'turn to North // A bullet hits you as you run for cover 
63,2,329,0,If it is 6 or more'turn to East // You evade taking any damage and escape the hale of bullets sent your way.
88,0,88,0,With practised ease you cup your pistol in both hands thumb back the safety catch and take aim at the shadow that fills half the window frame. The machine gunner is levelling his  weapon to fire again when you squeeze off your shot.  Pick a number from the'Random Number Table'and add to it your current Shooting skill total.
88,1,275,0,If the total is now 0'7'turn to North // You have taken yet another hit and miss your target running into a small room after the pain sets in. \\
88,2,9,0,If it is 8 or more'turn to East // You run at the window diving through and in mid air land 1 bullet through the window frame that penitrates through killing your target as you follow through the window now placing you back in the street .
109,0,109,0,You run for your car and vault over the trunk landing feet-first in the driving seat your hand poised to switch on the ignition. The engine growls but before you can shift gears and speed away a leather-clad punk come running towards you from out of the ruins the renegade leaps into the car beside you cackling like a maniac as he lunges for your throat with his flick knife.  Copperhead:'CLOSE'COMBAT'SKILL'14 ''ENDURANCE'24  Owing to the surprise of the attack you must fight the first round of combat unarmed.
109,1,9999,0,    option 1 -- You start to fight back taking damage from his knife and die slumped in your car seat. - North
109,2,63,0,    option 2 -- You start to fight while reaching for the flick knife you earler picked up and rembering your a move from steven segal films stab him 10 times in a quick military mannor. - East
111,0,111,0,A fury of bullets start to hit your car forcing you to exit and hump to the floor as you raise your shotgun and fire towards another aproching gang member. This roars and spits out a deadly cloud of buckshot catching him square in the chest. Briefly you see him thrown backwards through the air before his lifeless body crashes down to the dusty floor. You eject the spent shell to reload but keep your gun trained in case he was not alone.  [illustration]  Remember to erase one 12-gauge round from your'Ammo Pouch.
111,1,251,0,To continue'turn to North
126,0,126,0,With your pulse racing you jump to your feet and spring head down towards the darkened ally way werew you see 2 gang members. Pick a number from the'Random Number Table'and add to it your current Stealth skill total.
126,1,18,0,If the total is now 7 or less'turn to North // They see you and fire hitting you costing you some health points as you escape \\
126,2,329,0,If it is 8 or more'turn to East // Evading them and taking 0 damage you get away from the line of sight running back to your car . //
142,0,142,0,Grabbing the rollbar that protects the driving compartment you pull yourself feet-first into the driving seat and reach out for the ignition. The engine growls responsively but its powerful roar is all but drowned by a sudden eruption of gunfire from the 3 gang members you just ran into. Bullets shatter the windshield forcing you to throw yourself across the passenger seat to avoid being caught in a deadly crossfire. Drawning your pistol taking aim at the 3 aproching members you start to fire back.
142,1,63,0,If you win the combat'turn to North
142,2,9999,0,         If you loose you die game over
180,0,180,0,You squeeze the trigger and feel the butt of your pistol kick in your hand. Your enemys has no time to cry out as the bullets find there targets with deadly accuracy.   [illustration]  Remember to erase one 3 rounds from your'Ammo Pouch.You then shift your car into gear as Jake and the teenage girl dive into your car while pulling away.
180,1,251,0,To continue'turn to North
204,0,204,0,You drive off down the tracks ileaving town made by Long Jake's tyres to head to his truck to collect the weapons he found from his brothers store. You trail them all the way to the outskirts of (Sherman) where you discover his pick-up abandoned near an old gas station. As you pull up to his truck and jump out of the car you are fired upon by yet another masked gunmen who had found his truck he fire his gun. Do you leave the guns and run back to your car?. or do you dive for cover ready to fight?.
204,1,109,0,If you wish to get back into your roadster and try to escape this ambush'turn to North
204,2,307,0,If you wish to dive to the ground and take cover'turn to East
204,3,,0,        if you stay 
204,4,9999,0,        If you choose to leave you are shot doing so GAME OVER.
237,0,237,0,You glance over the wing of your car just long enough to pinpoint the muzzle flash coming from the other side of jakes truck. You then duck back and wait for a break in the firing. There is a sudden silence. You chance a second glance and spot a shadowy figure silhouetted in the window withdrawing an empty magazine.
237,1,9999,0,If you are using a Pistol'turn to North
237,2,9999,0,If you are using a Machine Pistol'turn to East
237,3,26,0,If you are using a Shotgun'turn to South
237,4,40,0,If you are using a Rifle'turn to West
251,0,251,0,An eerie silence is broken by Long Jake who shouts out    it aint over yet. There's more of them damn ruines' As if to prove his point two single shots ring out almost simultaneously and ricochet off the storehouse wall. 'Watch your sides' Jake yells. 'Don't let 'em circle you.'  You sense someone or something moving among the ruined shops away to your right. They are trying to get into a position where they will have a clear shot at you. If you are to survive this ambush you had better find somewhere less exposed.
251,1,126,0,If you wish to make a dash for the store'turn to North
251,2,142,0,If you decide to jump into your roadster and take off along the main street'turn to East you are shot and killed.
275,0,275,0,You dash for the shop shooting you gun while you run but Your enemy's reactions are lightning fast. He throws himself down behind the a rock and your gunfire stike it. You make it inside but An instant later the unexpected sound of running feet makes you spin on your heel. The punk is charging at you from the ruins with a knife held in his hand. You raise your weapon but before you can squeeze the trigger he dives full length and catches you in the chest with the crown of his head. His attack slams you backwards to the ground and gasping for breath you struggle to grab hold of his wrist before he can make use of his deadly blade. 
275,1,63,0,option 1 you pull out your knife and slash him as he tryes to kill you you win the knife fight
275,2,9999,0,option 2 you try to grab hold of a rock lay next to you but its to late you are stabbed and well guess what GAME OVER.
275,1,63,0,If you win the fight'turn to North
307,0,307,0,You run out the store heading back to your car but are once again shot at. You throw yourself down your hand reaching automatically for a weapon even as you hit the ground. Then you roll over and over towards your car and take cover behind the engine compartment. With the blood on your face from the last punk reducing your vision you force yourself to listen for a sound that will betray the whereabouts of your hidden attacker.  'He's in the drugstore!' shouts Long Jake his voice drawing another burst of fire from a building directly opposite.
307,1,237,0,If you have a machine gun and wish to use run back into the store to use it'turn to North
307,2,9999,0,"If you do not'turn to East,  You are shot by the guy in the drug store and fall down and die."
329,0,329,0,The instant you set foot in the store two hands reach out of the darkness grab you by the jacket its jake. Immediately there is a long burst of fire and a hail of bullets scythes the air where you were standing only moments before.  'These ain't no ordinary punks' growls Long Jake peering cautiously over the edge of the bullet-shattered window frame. They're a mite anxious to get their hands on her too' he says nodding towards the girl who is crouching behind the store counter her eyes wide with fright.  'What do they want with her?' you ask but before Long Jake can reply there is a flash and a deafening explosion. The store's rear door is blown inwards and flying debris knocks you off your feet. Stunned by the blast you rise unsteadily and reach for a weapon. A grey shape fills the rear entrance its outline fuzzy in the smoke and dust that hover there. Then the shape draws into focus and you see the silhouette of a tall man.  'Look out!' screams Long Jake as the figure leaps through the doorway a shotgun held before him ready to fire.  Pick a number from the'Random Number Table. If your current Shooting Stealth and Perception points (when added together) total 9 or more add 2 to the number you have picked.
329,1,9999,0,If your total is now 0'3'turn to North -     You pick up your pistol but are shot and killed. GAME OVER
329,2,9999,0,If it is 4'6'turn to East -     You try to use your knife but you are shot. GAME OVER
329,3,168,0,If it is 7 or more'turn to South -  You hold up your hands and screem wait . at this time the girl stranger pulls out a gun from underneath the shops counter and with 1 shot kills the guy.
333,0,333,0,Without taking your eyes off your target you are left unsure about what just happened you surly should of died. You are now faced with gun fire filling up the shop fromn its rear . with your gained stelth skills do you try to escape or do you use your gun skills to fight your way out.
333,1,275,0,If the total of your gun score is now 0'6'turn to North  You will the gun fight and escape with the guns and live to play another day
333,2,9999,0,#if its less you die.
333,2,54,0,if you sneek out you win choose  East
