Page_no,Choice_No,Goto_page,Text
204,0,204,The road stretches before you empty and silent shimmering beneath the early morning sun. With the temperature already in the mid-nineties you are grateful for the cool breeze that whips through your hair as you speed across the barren flats. The tracks made by Long Jake's tyres are still fresh in the dust that blankets the highway and you trail them all the way to the outskirts of Sherman where you discover his pick-up abandoned near an old gas station.  A line of footprints disappears towards the centre of the town and as you follow them along the main street you catch sight of Long Jake a rifle in his hand waving at you from the doorway of his brother's store. Behind him stands a girl. She looks eighteen maybe younger. Judging by the state of her clothing she must have been through a pretty rough time. You bring your roadster to a halt in front of the store and nervously Long Jake motions you to enter. 'Quick Cal!' he hisses. 'Get over here!'  You are barely out of the driving seat when a burst of machine gun fire rings out across the street. Bullets hit the ground near your feet and a number of holes appear stitched in a jagged row across the trunk of your car.
204,1,109,If you wish to get back into your roadster and try to escape this ambush'turn to North
204,2,307,If you wish to dive to the ground and take cover'turn to East
237,0,237,You glance over the wing of your car just long enough to pinpoint the muzzle flash; then you duck back and wait for a break in the firing. There is a sudden silence. You chance a second glance and spot a shadowy figure silhouetted in the window withdrawing an empty magazine.
237,1,88,If you are using a Pistol'turn to North
237,2,333,If you are using a Machine Pistol'turn to East
237,3,26,If you are using a Shotgun'turn to South
237,4,40,If you are using a Rifle'turn to West
251,0,251,An eerie silence is broken by Long Jake who shouts out '?'Taint over yet Cal. There's more of them damn peckerwoods hidin' out there somewhere!' As if to prove his point two single shots ring out almost simultaneously and ricochet off the storehouse wall. 'Watch your sides' Jake yells. 'Don't let 'em circle you.'  You sense someone or something moving among the ruined shops away to your right. They are trying to get into a position where they will have a clear shot at you. If you are to survive this ambush you had better find somewhere less exposed.
251,1,126,If you wish to make a dash for the store'turn to North
251,2,142,If you decide to jump into your roadster and take off along the main street'turn to East
275,0,275,Your enemy's reactions are lightning fast. He throws himself down behind the window and your gunfire passes harmlessly through the now empty frame. (Remember to deduct the relevant number of rounds from your'Ammo Pouch.) An instant later the unexpected sound of running feet makes you spin on your heel. A leather-clad punk his skull shaved and sprayed with rings of metallic brown paint is charging at you from the ruins with a knife held high in his hand. You raise your weapon but before you can squeeze the trigger he dives full length and catches you in the chest with the crown of his head. His attack slams you backwards to the ground and gasping for breath you struggle to grab hold of his wrist before he can make use of his deadly blade.  Copperhead:'CLOSE'COMBAT'SKILL'14 ''ENDURANCE'24  Owing to the suddenness of his attack you must fight the first two rounds of combat unarmed and with your'CLOSE COMBAT SKILL'reduced by 2 points. If you are still alive at the start of the third combat round you will then be able to draw your Hunting Knife.
275,1,63,If you win the fight'turn to North
307,0,307,You throw yourself down your hand reaching automatically for a weapon even as you hit the ground. Then you roll over and over towards your car and take cover behind the engine compartment. Now the street is silent once more. With the blood pounding in your ears you force yourself to listen for a sound that will betray the whereabouts of your hidden attacker.  'He's in the drugstore!' shouts Long Jake his voice drawing another burst of fire from a building directly opposite.
307,1,237,If you have a missile weapon and wish to use it'turn to North
307,2,251,If you do not'turn to East
329,0,329,The instant you set foot in the store two hands reach out of the darkness grab you by the jacket lapels and pull you away from the doorway. Immediately there is a long burst of fire and a hail of bullets scythes the air where you were standing only moments before.  'These ain't no ordinary punks' growls Long Jake peering cautiously over the edge of the bullet-shattered window frame. 'They're scouts for a Yankee gang that's headin' this way looking to take over. They're a mite anxious to get their hands on her too' he says nodding towards the girl who is crouching behind the store counter her eyes wide with fright.  'What do they want with her?' you ask but before Long Jake can reply there is a flash and a deafening explosion. The store's rear door is blown inwards and a searing wave of heat and flying debris knocks you off your feet. Stunned by the blast you rise unsteadily and reach for a weapon. A grey shape fills the rear entrance its outline fuzzy in the smoke and dust that hover there. Then the shape draws into focus and you see the silhouette of a tall man lean and sinewy his thin mouth set in a cruel sneer.  'Look out!' screams Long Jake as the figure leaps through the doorway a shotgun held before him ready to fire.  Pick a number from the'Random Number Table. If your current Shooting Stealth and Perception points (when added together) total 9 or more add 2 to the number you have picked.
329,1,191,If your total is now 0'3'turn to North
329,2,293,If it is 4'6'turn to East
329,3,168,If it is 7 or more'turn to South
333,0,333,Without taking your eyes off your target you unsling your G-12 draw back its fixing bolt and flick the selector to burst-fire. Your enemy is reloading a fresh magazine locking it in place with the heel of his palm when he sees you. With a scream of fear he attempts to get away from the open window as you let loose your first burst of fire.  Pick a number from the'Random Number Table'and add to it your current Shooting skill total.
333,1,275,If the total is now 0'6'turn to North
333,2,54,If it is 7 or more'turn to East
